상태,공고번호,등록번호
종료(반환),서울-노원-2024-00128,410160010407843
종료(반환),서울-광진-2024-00081,
종료(반환),서울-관악-2024-00172,410093300022603
종료(반환),서울-도봉-2024-00103,
종료(반환),서울-송파-2024-00126,
종료(반환),서울-도봉-2024-00101,
종료(반환),서울-강북-2024-00147,
종료(반환),서울-용산-2024-00168,410097800119188
종료(반환),서울-도봉-2024-00100,410100011201508
종료(반환),서울-성북-2024-00136,
종료(반환),서울-성북-2024-00135,410100004100611
종료(반환),서울-성동-2024-00068,
종료(반환),서울-중구-2024-00042,410160020383670
종료(반환),서울-관악-2024-00169,410160012250662
종료(반환),서울-용산-2024-00165,
종료(반환),서울-관악-2024-00168,410100012299013
종료(반환),서울-용산-2024-00163,
종료(반환),서울-중랑-2024-00117,410100012850379
종료(반환),서울-송파-2024-00122,
종료(반환),서울-성북-2024-00130,
종료(반환),서울-양천-2024-00100,410100013070632
종료(반환),서울-용산-2024-00159,410160011867123
종료(반환),서울-강서-2024-00144,
종료(반환),서울-강동-2024-00134,900111880112570
종료(반환),서울-양천-2024-00099,410100012704627
종료(반환),서울-강서-2024-00143,410160020206977
종료(반환),서울-용산-2024-00158,410097800117625
종료(반환),서울-양천-2024-00098,
종료(반환),서울-중랑-2024-00115,410160010486752
종료(반환),서울-관악-2024-00165,
종료(반환),서울-강서-2024-00142,410160010957532
종료(반환),서울-금천-2024-00097,
종료(반환),서울-중랑-2024-00112,
종료(반환),서울-도봉-2024-00094,392141000550644
종료(반환),서울-성북-2024-00123,
종료(반환),서울-관악-2024-00163,
종료(반환),서울-동작-2024-00116,
종료(반환),서울-용산-2024-00153,
종료(반환),서울-강북-2024-00131,
종료(반환),서울-성북-2024-00122,
종료(반환),서울-강동-2024-00129,410097800234685
종료(반환),서울-중랑-2024-00110,410100004108226
종료(반환),서울-중랑-2024-00109,
종료(반환),서울-성북-2024-00121,
종료(반환),서울-구로-2024-00113,
종료(반환),서울-강서-2024-00134,
종료(반환),서울-구로-2024-00112,
종료(반환),서울-강서-2024-00133,
종료(반환),서울-강서-2024-00132,
종료(반환),서울-용산-2024-00150,
종료(반환),서울-동작-2024-00114,
종료(반환),서울-중구-2024-00037,
종료(반환),서울-용산-2024-00148,410160011867123
종료(반환),서울-용산-2024-00147,
종료(반환),서울-송파-2024-00117,
종료(반환),서울-성북-2024-00115,410160010966340
종료(반환),서울-관악-2024-00160,
종료(반환),서울-중랑-2024-00105,410160010931769
